Date,T_degC,PO4uM,SiO3uM,NO2uM,NO3uM,Salnty,O2ml_L
04/12/2000,8.860,1.760,53.000,0.000,26.400,33.920,2.320
01/16/2009,8.860,2.100,39.000,0.000,29.000,34.030,2.430
07/01/2000,8.870,2.460,85.000,0.000,30.500,34.230,1.720
07/02/2002,8.870,2.280,34.000,0.030,24.500,34.039,2.830
01/21/2008,8.870,2.500,43.900,0.000,33.100,33.772,1.610
07/27/2009,8.870,1.660,29.000,0.000,25.000,33.830,3.710
04/12/2013,8.870,1.840,43.000,0.020,27.300,33.802,2.160
07/24/2001,8.880,2.680,39.800,0.120,29.300,34.042,2.090
03/19/2009,8.880,1.820,31.000,0.000,24.700,33.870,3.220
10/29/2015,8.880,2.040,37.500,0.030,22.100,33.663,2.590
04/12/2002,8.890,2.280,33.900,0.030,24.500,34.035,2.830
10/18/2011,8.890,2.670,58.000,0.010,38.300,34.170,1.450
04/14/2011,8.900,1.730,29.000,0.010,26.100,33.860,3.270
01/14/2007,8.910,1.660,29.000,0.000,23.500,33.813,3.550
04/15/2011,8.910,1.730,28.800,0.010,26.100,33.854,3.280
10/16/2011,8.910,2.680,57.800,0.030,38.500,34.166,1.470
07/07/2000,8.920,2.080,75.000,0.000,25.400,34.150,2.520
07/13/2007,8.920,1.880,35.000,0.000,27.600,33.890,2.870
04/25/2011,8.920,1.870,34.800,0.010,30.800,34.038,2.470
04/04/2006,8.930,2.460,42.000,0.250,26.700,33.920,2.230
07/19/2006,8.930,1.880,32.300,0.040,26.200,33.596,3.720
05/04/2010,8.940,1.730,26.200,0.000,22.100,33.734,3.770
03/30/2008,8.950,2.150,41.000,0.000,30.200,34.150,2.150
01/19/2011,8.960,2.080,39.800,0.050,28.100,34.115,2.070
11/02/2001,8.970,2.730,37.000,0.030,28.400,34.043,2.390
04/07/2013,8.970,1.600,38.400,0.050,23.400,33.704,2.620
04/03/2007,8.980,1.870,34.600,0.000,27.500,33.882,2.930
10/28/2012,8.990,2.090,38.100,0.010,27.700,33.576,2.370
10/17/2011,9.000,2.700,57.000,0.090,39.300,34.150,1.540
07/10/2016,9.000,1.710,32.000,0.020,21.300,33.725,3.150
11/01/2001,9.020,2.730,36.600,0.030,28.200,34.021,2.410
11/01/2011,9.040,2.090,40.600,0.040,28.100,34.088,1.920
04/03/2008,9.050,2.100,40.000,0.000,29.600,34.120,2.200
11/09/2010,9.050,1.540,25.300,0.020,24.100,33.748,3.850
07/16/2002,9.070,2.100,29.900,0.020,24.800,33.533,3.330
10/14/2000,9.080,1.790,54.000,0.000,21.600,33.930,3.230
01/15/2008,9.080,2.230,38.700,0.000,30.600,33.703,2.090
01/21/2013,9.080,1.690,35.400,0.010,24.200,33.998,2.410
11/10/2007,9.090,2.170,38.800,0.030,29.100,33.565,2.090
01/19/2009,9.090,2.150,37.000,0.000,29.500,34.100,2.350
01/23/2000,9.100,2.060,58.000,0.000,27.600,34.000,2.710
01/20/2001,9.110,2.000,54.000,0.000,29.700,33.960,3.220
04/03/2006,9.110,2.170,34.500,0.190,26.000,33.868,2.790
04/02/2006,9.120,2.150,34.000,0.190,26.000,33.865,2.820
08/10/2010,9.120,1.190,15.900,0.110,15.400,33.642,4.770
10/20/2011,9.120,2.310,44.300,0.010,33.200,34.040,2.010
01/09/2001,9.130,2.110,50.000,0.000,24.400,33.950,3.520
01/13/2007,9.130,1.610,27.300,0.000,22.900,33.771,3.650
04/20/2013,9.130,1.910,37.300,0.010,21.800,34.035,2.160
04/13/2013,9.140,1.480,29.900,0.030,21.000,33.656,3.350
10/27/2012,9.150,1.980,34.800,0.020,26.500,33.536,2.610
11/20/2002,9.160,2.030,27.400,0.010,23.500,33.452,3.460
01/09/2008,9.160,1.950,32.800,0.000,27.000,33.695,2.730
07/23/2009,9.160,1.570,26.000,0.010,22.300,33.710,3.800
11/23/2009,9.160,2.350,37.000,0.000,29.000,34.120,2.200
01/16/2010,9.160,1.680,38.000,0.220,24.700,33.950,2.480
08/11/2010,9.160,1.170,15.000,0.120,15.000,33.640,4.840
01/17/2010,9.170,1.680,37.800,0.240,24.700,33.948,2.500
04/26/2011,9.170,1.820,32.800,0.010,29.600,34.008,2.540
04/16/2011,9.180,1.580,24.000,0.020,23.400,33.723,3.730
07/10/2002,9.200,2.180,30.100,0.020,24.500,33.572,3.030
07/17/2012,9.200,2.060,37.700,0.000,31.200,34.014,2.000
10/26/2000,9.210,1.900,52.000,0.000,27.000,33.920,2.990
01/28/2002,9.210,2.800,34.500,0.010,26.400,33.720,2.580
06/28/2007,9.210,1.260,18.800,0.000,17.000,33.148,4.660
10/27/2008,9.210,2.150,37.000,0.000,27.900,34.100,2.360
03/28/2007,9.220,1.240,20.000,0.000,17.600,33.565,4.430
11/14/2009,9.220,2.070,33.000,0.000,27.200,34.120,2.570
01/18/2017,9.230,1.770,35.500,0.090,25.100,33.679,2.380
03/29/2007,9.240,1.570,26.200,0.000,22.300,33.714,3.860
07/30/2011,9.250,2.040,37.400,0.030,27.200,34.064,2.190
07/06/2013,9.250,1.430,23.600,0.000,19.300,33.520,4.240
02/06/2003,9.260,1.810,25.700,0.020,21.400,33.893,3.560
01/30/2007,9.260,1.880,32.000,0.000,25.700,33.583,2.820
04/13/2016,9.260,1.550,28.300,0.010,16.100,33.438,3.600
04/02/2007,9.270,1.820,31.000,0.000,25.800,33.812,3.400
01/22/2008,9.270,2.120,34.700,0.030,29.100,33.675,2.380
04/04/2008,9.280,1.990,36.000,0.000,27.700,34.030,2.400
11/21/2017,9.280,1.810,35.000,0.000,33.800,33.525,2.580
08/25/2008,9.290,1.210,19.000,0.000,15.600,33.700,4.530
03/15/2009,9.290,1.550,24.000,0.010,21.800,33.670,3.860
10/31/2001,9.300,2.710,33.800,0.030,27.000,33.902,2.590
01/23/2013,9.300,1.470,32.900,0.030,20.800,33.975,2.600
10/31/2015,9.300,1.870,31.100,0.030,19.900,33.561,3.270
10/15/2008,9.310,1.900,32.000,0.000,26.900,34.020,2.840
07/23/2001,9.330,2.680,35.000,0.130,28.200,34.092,2.360
01/16/2007,9.330,1.570,26.000,0.000,22.500,33.742,3.720
01/18/2010,9.330,1.730,33.000,0.750,24.600,33.890,2.900
04/14/2003,9.340,2.100,29.000,0.000,24.600,33.970,3.000
06/30/2000,9.350,2.350,74.000,0.000,27.500,34.200,2.010
04/12/2002,9.350,2.180,30.500,0.020,23.400,33.927,2.890
01/19/2010,9.350,1.720,33.000,0.720,24.500,33.890,2.910
01/15/2011,9.350,1.780,31.000,0.010,28.700,33.990,2.580
01/22/2011,9.350,2.060,35.400,0.010,27.500,33.980,2.250
10/21/2011,9.350,2.000,34.000,0.000,27.700,33.950,2.250
04/08/2006,9.360,1.990,30.600,0.140,24.000,33.677,3.390
10/26/2008,9.370,1.990,33.000,0.000,26.700,34.010,2.690
10/25/2012,9.370,1.870,31.700,0.030,25.400,33.516,2.850
11/11/2019,9.370,2.390,40.200,0.060,25.800,33.918,2.060
07/11/2000,9.380,1.870,64.000,0.000,23.500,34.130,2.440
04/02/2002,9.380,2.770,40.300,0.000,28.900,33.770,1.500
01/22/2013,9.380,1.410,32.000,0.030,19.800,33.970,2.670
04/21/2001,9.390,2.140,56.000,0.000,22.800,33.940,3.180
07/22/2001,9.390,2.650,34.600,0.130,28.100,34.115,2.370
03/13/2009,9.390,1.100,16.000,0.010,14.500,33.550,4.680
07/25/2004,9.400,2.460,37.300,0.010,27.500,33.752,2.090
07/29/2011,9.400,1.910,36.300,0.020,26.500,34.053,2.330
10/20/2000,9.410,2.160,64.000,0.000,28.000,34.150,2.420
04/13/2003,9.410,2.070,28.300,0.000,24.200,33.952,3.040
07/21/2006,9.410,1.780,29.900,0.140,24.400,33.557,4.240
01/21/2011,9.420,2.010,34.300,0.010,27.200,33.909,2.310
03/29/2012,9.420,2.140,38.800,0.000,32.500,34.027,1.870
04/07/2001,9.430,1.710,45.000,0.000,27.100,33.830,3.560
11/13/2009,9.430,1.930,29.000,0.000,24.200,34.030,2.800
07/28/2011,9.440,1.870,36.000,0.020,26.300,34.050,2.360
07/11/2014,9.440,1.880,36.000,0.000,28.100,34.100,2.390
10/30/2006,9.450,1.840,30.700,0.000,25.700,33.618,3.010
01/20/2009,9.450,1.960,31.000,0.000,26.600,34.030,2.710
04/14/2013,9.450,1.230,21.000,0.060,17.000,33.620,4.150
01/20/2011,9.460,1.920,32.900,0.030,26.200,33.839,2.400
07/12/2014,9.460,1.870,36.000,0.000,28.100,34.095,2.400
10/30/2001,9.470,2.640,30.800,0.040,25.700,33.811,2.860
07/09/2002,9.470,1.920,24.100,0.030,21.600,33.527,3.560
04/14/2006,9.470,1.760,27.500,0.230,21.200,33.393,4.120
11/20/2009,9.480,2.150,33.000,0.000,26.900,34.020,2.700
04/22/2013,9.480,1.710,33.000,0.000,20.300,34.014,2.440
01/07/2017,9.480,1.550,27.300,0.020,21.800,33.669,3.210
05/03/2010,9.490,1.670,22.300,0.320,20.200,33.575,4.520
01/14/2011,9.490,1.730,28.700,0.020,27.700,33.913,2.750
04/11/2013,9.490,1.210,19.600,0.060,16.600,33.578,4.250
01/27/2002,9.500,2.550,31.400,0.010,25.600,33.664,2.820
01/08/2008,9.500,1.750,27.700,0.000,24.100,33.654,3.110
08/06/2011,9.510,1.150,14.600,0.070,16.300,33.611,4.500
03/30/2012,9.510,1.980,35.700,0.000,31.300,33.973,2.210
05/06/2010,9.520,1.770,31.000,0.310,22.300,33.836,3.660
01/15/2001,9.530,1.840,48.000,0.000,24.000,33.920,2.280
10/22/2006,9.540,0.950,13.600,0.030,12.200,33.151,5.080
04/04/2007,9.540,1.090,15.900,0.070,14.300,33.374,4.840
01/25/2008,9.540,1.010,15.100,0.000,13.500,33.322,4.490
04/11/2015,9.540,1.660,28.900,0.020,20.800,33.686,3.000
07/14/2014,9.550,1.840,36.000,0.000,28.000,34.070,2.460
07/15/2019,9.550,2.310,34.500,0.010,23.900,33.914,2.380
01/20/2008,9.560,1.950,29.400,0.080,26.500,33.651,2.770
07/19/2012,9.560,2.010,33.700,0.000,29.200,33.938,2.400
04/23/2013,9.560,1.660,32.000,0.000,19.900,34.010,2.520
01/29/2007,9.570,1.620,25.700,0.020,22.600,33.540,3.770
07/10/2013,9.590,1.310,18.300,0.000,16.600,33.459,4.590
07/11/2016,9.590,1.360,22.000,0.020,17.200,33.601,3.870
10/25/2003,9.600,2.650,38.700,0.000,29.200,33.876,1.680
01/29/2011,9.600,1.870,31.000,0.020,24.200,33.970,2.510
01/30/2011,9.610,1.870,30.800,0.020,24.000,33.964,2.530
11/01/2012,9.610,1.950,34.600,0.080,27.900,34.036,2.270
07/11/2013,9.620,1.300,18.000,0.000,16.400,33.300,4.610
11/09/2015,9.620,1.580,23.500,0.000,14.800,33.584,3.530
01/23/2011,9.630,1.880,30.100,0.020,24.700,33.772,2.730
04/19/2011,9.630,1.230,16.200,0.060,16.500,33.629,4.480
07/13/2001,9.640,1.740,43.000,0.000,19.800,33.930,3.720
11/17/2013,9.640,1.410,19.200,0.010,16.900,33.414,4.140
07/13/2014,9.640,1.840,35.000,0.000,27.300,33.960,2.510
11/19/2002,9.650,1.800,21.600,0.020,20.400,33.413,3.860
07/02/2007,9.650,1.020,13.300,0.000,11.500,33.075,5.180
07/29/2009,9.650,1.160,16.000,0.010,15.400,33.500,4.480
01/18/2005,9.680,2.350,34.000,0.030,27.100,34.161,2.200
04/13/2015,9.680,1.410,23.200,0.020,18.000,33.628,3.680
01/31/2010,9.690,1.550,24.000,0.090,20.000,33.790,3.600
07/06/2000,9.700,1.920,62.000,0.000,23.800,34.090,2.410
01/19/2005,9.700,2.320,33.400,0.030,26.800,34.143,2.240
10/22/2011,9.700,1.890,30.500,0.000,25.100,33.861,2.570
03/31/2012,9.700,1.900,32.800,0.000,30.000,33.947,2.420
03/31/2008,9.710,1.660,28.000,0.000,23.500,33.890,3.260
10/29/2001,9.720,2.400,26.300,0.110,23.500,33.747,3.370
01/29/2014,9.720,1.400,21.100,0.010,15.300,33.579,4.150
04/11/2002,9.730,2.070,27.200,0.030,22.100,33.825,3.010
04/01/2006,9.730,2.100,23.000,0.130,20.600,33.790,3.540
11/12/2007,9.730,1.750,27.400,0.000,23.000,33.414,3.130
10/31/2015,9.730,1.550,22.800,0.040,16.400,33.517,3.790
07/15/2002,9.740,1.810,22.300,0.030,20.500,33.487,3.840
02/06/2012,9.740,1.760,28.000,0.110,23.000,33.900,2.800
07/21/2001,9.750,2.400,31.600,0.140,26.800,34.213,2.580
05/01/2005,9.750,2.740,41.300,0.010,28.500,33.877,1.280
01/24/2010,9.750,1.580,30.000,0.200,20.500,33.800,3.470
02/07/2012,9.750,1.760,27.800,0.100,23.000,33.888,2.810
01/26/2015,9.750,2.190,34.700,0.010,24.800,34.029,2.390
11/15/2016,9.750,1.940,35.500,0.060,24.600,33.545,2.260
04/03/2014,9.760,1.650,27.000,0.030,16.600,33.840,3.110
10/31/2010,9.770,1.840,29.000,0.030,22.300,33.900,2.790
01/26/2002,9.790,2.310,27.500,0.020,24.100,33.608,3.140
10/30/2010,9.790,1.840,28.900,0.030,22.300,33.896,2.810
07/15/2014,9.800,1.650,31.100,0.000,24.600,33.865,2.800
07/22/2009,9.810,1.020,14.000,0.010,13.100,33.430,4.900
01/23/2010,9.810,1.560,29.500,0.200,20.200,33.796,3.530
07/27/2011,9.810,1.730,29.000,0.080,22.800,33.889,2.920
07/20/2012,9.810,1.830,29.900,0.000,26.900,33.901,2.580
01/13/2013,9.810,1.530,27.100,0.000,18.200,33.833,2.970
07/24/2016,9.810,0.960,18.300,0.010,8.200,33.378,4.190
01/19/2017,9.820,1.560,28.400,0.070,22.700,33.563,2.780
04/01/2002,9.830,2.450,33.100,0.000,26.300,33.647,2.160
01/20/2007,9.840,1.490,22.800,0.050,21.100,33.687,4.020
04/01/2012,9.850,1.850,30.000,0.000,28.500,33.930,2.640
07/24/2004,9.860,2.280,28.500,0.010,23.900,33.638,2.890
11/04/2015,9.860,1.400,18.600,0.130,11.500,33.542,4.050
06/29/2000,9.880,1.920,52.000,0.000,24.700,33.940,2.760
04/05/2007,9.880,0.970,13.000,0.130,11.500,33.226,5.150
11/14/2017,9.880,1.280,23.900,0.010,18.600,33.628,2.860
07/16/2019,9.880,2.000,26.400,0.100,21.100,33.749,3.500
01/24/2013,9.890,1.220,25.800,0.010,17.000,33.804,3.140
10/19/2000,9.900,1.870,48.000,0.000,24.000,33.990,2.970
01/13/2011,9.910,1.570,23.300,0.050,24.800,33.772,3.230
04/06/2012,9.910,1.790,28.500,0.000,27.700,33.845,2.790
01/06/2017,9.940,1.420,23.200,0.030,19.800,33.652,3.370
04/07/2002,9.950,2.490,34.300,0.010,25.800,34.161,2.040
01/07/2008,9.970,1.460,22.300,0.080,19.900,33.615,3.770
01/24/2011,9.970,1.740,25.700,0.040,23.200,33.712,3.090
01/29/2012,9.980,1.740,28.100,0.000,26.500,33.822,2.880
07/21/2012,9.980,1.680,27.200,0.000,24.200,33.864,2.680
07/09/2002,9.990,1.600,17.700,0.040,17.500,33.485,4.270
08/14/2008,10.000,1.050,11.000,0.060,9.000,33.760,5.000
02/09/2012,10.000,1.690,25.300,0.100,22.100,33.796,3.080
11/03/2012,10.000,1.840,29.500,0.040,25.400,33.943,2.590
04/10/2001,10.010,1.550,38.000,0.000,23.400,33.870,3.660
07/20/2001,10.010,2.070,26.700,0.160,24.100,34.224,3.110
10/29/2010,10.010,1.810,26.800,0.050,21.900,33.848,3.080
07/14/2016,10.010,1.080,15.900,0.030,13.400,33.543,4.450
04/07/2006,10.020,1.790,23.000,0.160,17.900,33.652,3.930
01/15/2015,10.020,1.760,34.400,0.030,24.300,33.747,2.110
01/14/2016,10.030,1.200,16.600,0.060,10.300,33.552,4.440
01/08/2001,10.040,1.340,23.000,0.000,14.200,33.590,4.770
02/07/2002,10.040,2.420,31.400,0.030,25.400,33.880,2.230
04/07/2002,10.040,2.490,34.000,0.010,25.700,34.160,2.020
07/23/2012,10.050,1.630,26.000,0.000,23.100,33.850,2.720
02/14/2003,10.060,1.830,23.100,0.050,21.100,33.897,3.400
11/13/2007,10.060,1.380,19.200,0.030,17.100,33.343,4.170
03/31/2002,10.070,2.210,28.300,0.010,24.300,33.588,2.590
04/11/2002,10.070,1.870,22.600,0.080,20.100,33.736,3.460
10/29/2006,10.070,1.670,25.400,0.030,22.500,33.590,3.550
04/02/2014,10.080,1.510,22.000,0.030,14.300,33.690,3.550
02/06/2002,10.100,2.380,31.000,0.040,25.000,33.822,2.300
08/07/2011,10.100,0.920,9.000,0.130,11.400,33.580,4.970
01/19/2007,10.110,1.440,21.000,0.070,20.000,33.662,4.220
04/11/2001,10.120,2.320,63.000,0.000,32.200,34.250,2.110
03/10/2009,10.120,0.830,11.000,0.010,9.000,33.400,5.110
02/05/2002,10.130,2.310,30.400,0.040,23.700,33.764,2.360
10/21/2006,10.130,0.600,6.700,0.040,5.300,33.078,5.600
04/14/2015,10.130,1.160,17.000,0.020,14.200,33.571,4.230
04/13/2003,10.150,1.750,21.800,0.020,19.600,33.822,3.520
04/24/2003,10.150,2.610,35.500,0.000,26.800,33.677,1.900
11/04/2012,10.150,1.770,26.900,0.070,23.900,33.897,2.720
02/15/2003,10.160,2.250,31.000,0.140,25.600,34.045,2.240
01/28/2012,10.160,1.670,25.700,0.000,25.100,33.772,3.040
08/08/2011,10.170,0.920,9.000,0.150,11.300,33.560,5.050
11/10/2019,10.170,2.030,30.300,0.010,22.400,33.777,2.780
01/28/2007,10.180,1.400,20.400,0.130,18.700,33.498,4.630
11/16/2016,10.180,1.550,26.000,0.040,20.100,33.410,3.190
03/30/2017,10.180,2.270,40.000,0.150,22.000,34.266,1.320
04/17/2005,10.190,2.420,36.800,0.080,26.800,33.836,1.660
04/24/2005,10.190,2.440,33.800,0.030,26.200,33.814,1.870
04/04/2012,10.190,1.540,21.900,0.030,23.100,33.678,3.500
07/22/2012,10.190,1.590,23.800,0.000,22.200,33.781,3.020
04/11/2017,10.190,1.250,17.200,0.010,8.900,34.361,4.190
02/04/2002,10.200,2.060,26.000,0.030,20.100,33.707,2.650
04/03/2004,10.200,2.590,36.600,0.090,27.700,33.765,1.630
10/28/2010,10.200,1.680,23.900,0.060,20.200,33.801,3.390
02/07/2006,10.210,1.820,11.000,0.110,13.900,33.740,4.070
07/21/2014,10.210,1.420,25.100,0.010,20.800,33.771,3.270
08/13/2010,10.220,1.290,15.000,0.610,15.000,33.398,4.770
11/10/2014,10.220,2.140,31.600,0.010,24.000,33.853,2.320
01/27/2015,10.220,2.100,31.800,0.020,23.600,33.982,2.310
07/17/2019,10.230,1.800,22.100,0.040,18.600,33.668,3.770
04/23/2003,10.240,2.160,26.600,0.010,22.300,33.502,2.930
04/14/2001,10.250,1.280,29.000,0.030,16.400,33.650,4.240
07/12/2012,10.250,1.710,25.000,0.090,22.900,33.870,2.870
07/19/2015,10.250,2.200,32.000,0.030,24.200,34.030,2.370
01/16/2004,10.260,2.610,39.000,0.040,28.200,34.292,1.410
07/20/2015,10.260,2.280,34.600,0.020,25.600,34.042,2.000
01/16/2015,10.270,1.660,27.800,0.010,21.200,33.636,2.710
04/07/2015,10.270,2.090,29.900,0.030,23.300,33.934,2.610
07/21/2015,10.270,2.400,36.000,0.020,26.500,34.060,1.730
01/20/2017,10.270,1.400,23.300,0.080,20.000,33.511,3.120
10/24/2003,10.280,2.340,30.700,0.010,26.200,33.769,2.190
01/15/2004,10.280,2.610,38.600,0.040,28.200,34.287,1.430
11/01/2010,10.280,1.650,23.000,0.060,19.600,33.790,3.470
07/11/2012,10.280,1.650,23.500,0.090,22.300,33.977,3.110
11/05/2004,10.290,1.840,22.600,0.020,20.900,33.800,3.330
10/28/2006,10.290,1.260,18.300,0.240,16.400,33.562,4.710
08/03/2017,10.290,1.350,21.100,0.000,24.800,33.435,3.610
11/13/2019,10.290,1.780,25.700,0.020,20.200,33.708,3.340
07/26/2004,10.300,2.010,24.500,0.010,21.900,33.586,3.140
10/27/2006,10.300,1.240,18.000,0.250,16.100,33.561,4.770
01/31/2012,10.300,1.580,23.200,0.010,23.500,33.723,3.240
04/06/2002,10.320,2.360,30.200,0.020,24.000,33.980,2.330
10/25/2011,10.330,1.550,23.800,0.000,19.500,33.774,3.240
04/06/2015,10.350,1.610,21.000,0.070,18.500,33.711,3.610
04/25/2008,10.360,1.410,18.000,0.090,16.800,33.650,4.720
01/06/2005,10.370,2.370,31.900,0.010,25.300,33.736,2.140
02/05/2003,10.380,1.160,12.500,0.030,12.000,33.689,4.720
07/19/2001,10.390,1.740,20.300,0.200,20.000,34.149,3.790
07/20/2006,10.390,1.230,16.600,0.040,14.400,33.489,5.800
01/16/2008,10.390,1.590,21.800,0.120,20.400,33.631,3.530
02/08/2012,10.390,1.630,22.700,0.210,20.500,33.709,3.470
01/28/2015,10.390,2.030,30.700,0.020,23.000,33.960,2.370
11/11/2010,10.400,1.030,10.900,0.040,13.200,33.444,4.850
04/02/2004,10.430,2.320,30.800,0.010,25.100,33.640,2.330
04/08/2013,10.430,0.720,10.600,0.060,8.100,33.455,5.010
11/14/2019,10.430,1.580,22.000,0.030,18.000,33.670,3.760
04/15/2001,10.440,2.240,62.000,0.000,25.900,34.250,1.980
11/08/2014,10.440,1.900,25.900,0.020,21.500,33.707,2.890
07/03/2007,10.450,0.690,7.300,0.000,5.100,33.008,5.880
07/15/2009,10.450,0.990,15.000,0.000,12.900,33.730,4.890
04/22/2000,10.460,1.580,36.000,0.020,18.700,33.720,3.690
02/13/2003,10.460,1.250,13.200,0.050,13.400,33.778,4.580
01/14/2004,10.460,2.610,36.000,0.050,27.900,34.248,1.570
07/22/2006,10.470,1.210,16.000,0.040,14.000,33.488,5.860
03/30/2002,10.480,1.990,23.500,0.040,22.000,33.531,2.950
04/03/2003,10.490,2.500,35.600,0.230,27.300,34.226,1.370
01/29/2015,10.490,1.980,30.000,0.020,22.600,33.946,2.410
11/01/2015,10.490,1.170,14.200,0.060,11.700,33.476,4.400
04/02/2008,10.500,1.350,21.000,0.000,18.600,33.740,3.830
11/16/2009,10.510,0.630,6.000,0.040,3.900,33.490,6.030
01/20/2010,10.520,1.300,24.000,0.240,15.900,33.760,4.390
10/24/2011,10.520,1.480,22.000,0.000,18.300,33.760,3.440
